Ticket ID,Category,Subcategory,Priority,Description,Source
1000026,Hardware,Workstation setup [location],Low,"Docking Stations: https://www.amazon.ca/Lenovo-ThinkPad-Hybrid-USB-C-40AF0135US/dp/B079N9BJY7
Webcams: https://www.amazon.ca/Logitech-Calling-Correction-FaceTime-Hangouts/dp/B07K986YLL
Wireless Keyboard/Mouse Combo: https://www.amazon.ca/dp/B079JLY5M5/coliid=I2CK7AFY459R6I&colid=27EV1DKS9FDN4&psc=1&ref_=list_c_wl_lv_ov_lig_dp_it
DisplayPort Cables: https://www.amazon.ca/ivanky-DisplayPort-Braided-Display-Laptop",Synthetic
1000027,Hardware,Setup Workstation in [location],Low,Setup required for shared workstation area in [location]. The room currently only has a monitor available. Additional peripherals and docking accessories are needed to make the space usable for users working in the room.,Synthetic
1000028,Software,Teams access to shared and files missing,Medium,"Hi,
I’ve rebooted etc., settings, etc. but in the past day or two, my ability to access “Shared” and “files” on my various channels is missing from view. Can someone please advise me as to what steps I need to take to restore this view/setting/or etc….? I can only see “POSTS” in all channels, not Shared. Note the red alert triangle relates to a prior issue (Dal team channel).
It’s very limiting. I’m remote today, but can share my screen etc. See below.
Thanks,
[Name]",Synthetic
1000029,Software,Computer Issues,Low,"Hi [Name], is it abnormal for Software Centre to consistently give notifications that installation(s) failed? In March, Lina mentioned my machine was ""not up to date in the way it should be"". Maybe it never figured itself out.
Maybe or maybe not related: Recently (last week) I started experiencing an issue where applications would close on me. I thought it was when I would alt + tab, so I followed some suggestions.
This happened with edge, so I tried chrome, and eventually it happened there as well. Today both Edge and Excel crashed and I got a install failure notification from Software Centre at the same time. Have you heard of anything like this, or have any suggestions? For this combination of app crashes, I see a suggestion to repair Microsoft Office. I tried to repair Microsoft 365 and it failed, which is not encouraging lol.",Synthetic
1000030,Software,Unexpected Outlook and Browser behaviour,Medium,"User reported abnormal behavior on laptop. While using Outlook, sent emails unexpectedly moved to Deleted Items. Later, while using Edge, multiple random browser tabs opened unexpectedly.",Synthetic
1000031,Hardware,Monitor connection inconsistent,Low,One of my monitors regularly loses its signal for no apparent reason. Sometimes I will be in the middle of a Teams call - using that monitor - and I suddenly won't be able to see anything. The other monitor is fine with no issues. It's the central monitor (with the webcam attached) that regularly goes black. This happens approximately 5 times/day.,Synthetic
1000032,Software,Local Security Authority Warning Pop Ups,Low,Recurring warning pop-ups appearing after DYMO printer installation last week. Error message reads 'This module is blocked from loading into the Local Security Authority',Synthetic
1000033,Software,Adobe PDF - Saving,Medium,"I am trying to save a email message as adobe pdf and I get now get the message ""Your request could not be completed. Adobe Acrobat license has either expired or not been activated. Try launching adobe acrobat"" I am not sure why this is happening when I use to be able to save. Can you help? thanks",Synthetic
1000034,Software,Issues with autofilling passwords in browser and calender syncing,Low,The user was facing issues with the autofill passwords and auto sign in features in Google Chrome and wanted them to be disabled. The user was also facing calendar syncing issues between their iPhone calendar app and Outlook.,Synthetic
1000035,Software,MS Visio Installation,Low,User requested installation of Microsoft Visio App on their laptop,Synthetic
1000036,Hardware,Two Laptops needed for Campus Life Fair - Wednesday May 13,Medium,"Hi, [Name] (cc'd) and I need to borrow two laptops for the Campus Life Fair on Wednesday, May 13, 2026 (11:00 AM to 2:00 PM EDT). [Name] has already spoken to [Name] (cc'd) about this. Each laptop should be able to hold a charge for 3 to 4 hours since we won't have reliable power at the booth. We'd like to pick them up first thing Wednesday morning. Please let us know what we need to do to coordinate pickup. Thanks!",Synthetic
1000037,Hardware,Laptop display not turning on,High,"The laptop display is not turning on at all, even when trying to access the BIOS/boot menu.",Synthetic
1000038,Software,Issues with Teams and IPhone,Medium,"User reported that when attempting to start a call in Microsoft Teams, they received a “Sorry, we couldn’t connect you” error message. Additionally, when placing phone calls, the other person was unable to hear any audio from the user.",Synthetic
1000039,Hardware,Web Cam,Low,My computer was never set up with a Web Cam - I am requesting a new Web Cam.,Synthetic
1000040,Security,Update Laptop - ISV-4803 ADV200601: Windows Vulnerabilities,Medium,MacBook - IST Ticket: IST-245578,Synthetic
1000041,Hardware,Software Update,Low,Needed Min Password,Synthetic
1000042,Security,Updating unpatched computers,Low,"You know those tickets from IST security about stuff being unpatched? We have access to their info by API and am dumping it here: K:\RE-RaisersEdge-CTL\DEV\Data Extracts\IT\Results.txt
[Name] has dumped the info into the text file. What we would like to do is find these machines and update them.
Can you cross reference the info with AM (Asset Manager) and then reach out to the users to assess their machine please.",Synthetic
1000043,Hardware,Research a setup for hybrid/remote meetings,Low,"One thing [Name] can work on is a complete overhaul of the setup in Discovery and Inspiration. She could visit other offices, like Office of Research and inquire with IST to see how best to come up with a proposal to support hybrid/remote meetings. Next would be Philanthropy. She can do the research and visit other buildings across campus.
Something to consider is having a dedicated Teams Account associated with the TV/Computer.",Synthetic
1000044,Software,Connect Issue - CPU Load,Low,"Hi there - I am having issues with connectivity in Teams in my office. I have received an error message: CPU load is affecting audio quality.
Can someone provide some support - thank you!",Synthetic
1000045,Network,Installing ethernet port in [location],Low,[Location] has no ethernet port. A ticket has been raised with IST for the installation of the same. Account number used is: [Account ID],Synthetic
1000046,Access,Title change - [Name] - July 13 2026,Low,,Synthetic
1000047,Access,Renew O365 License for External Users - Brightvine,Low,,Synthetic
1000048,Access,O365 License expiring for several accounts,Low,,Synthetic
1000049,Access,Research Funding Database Access,Low,,Synthetic
1000050,Hardware,Headset not working - No Sound,Low,,Synthetic
1000051,Software,Import missing GL attributes from RE to CRM (post conversion cleanup),Low,,Synthetic
2000001,Software,Outlook will not load emails.,Low,I am not connected to the VPN could that be contributing?,Production
20000002,Software,Issues with Outlook,Low,Outlook will not load my emails.,Production
2000000,Hardware,Monitor Display not working,Low,Screen says no signal when the cable is connected,Production
2000003,Network,Cannot connect to Duo Mobile,Low,I keep getting an authentication error.,Production
2000005,Software,Issues with Adobe,Low,It keeps asking me to sign in.,Production
